FUND,freq,MISC,freq.1,UNI,freq.2,COR,freq.3,IND,freq.4
Governor's Office on Elderly Affairs,2.0,QEH travel fund,1.0,,,,,Jill Berrick,2
MacArthur Foundation Research Network on an Aging Society,2.0,OPERA RESEARCH PROJECT,1.0,,,,,Mir Mojtaba Hashemi,2
USC Center on Child Welfare,2.0,"Critical Intersections: Mild Cognitive Impairment, Aging and Dementia in Theory and Practice",1.0,,,,,Hongyun Fu,2
Research to Prevention (R2P) Project,2.0,BOF,1.0,,,,,Didier Ruedin,2
GTCI Guerre,2.0,Colonial legacies in African economic history,1.0,,,,,Maata Tuniq,2
Humanities and Social Science of Ministry of Education China,2.0,Arab-Islamic world,1.0,,,,,Junichi Sakamoto,2
Swedish Financial Supervisory Authority,2.0,2013 International Conference on Business History (Fuji Conference) in Kyoto,1.0,,,,,Jonathan Libgober,2
"Federal Institute of Sport Science (BISp) in Bonn, Germany",2.0,First Prize in Graduate Student Research Paper Award Competition,1.0,,,,,Paul Warde,2
5th Framework Program,2.0,WGBY,1.0,,,,,A. Hawes,2
J. C. California Behavioral Risk Factor Surveillance System (BRFSS) SAS Dataset Documentation and Technical Report,2.0,Long Eighteenth Century Seminar,1.0,,,,,Jeroen K. Vermunt,2
Netherlands Organization of Scientific Research (NWO),2.0,FFyB-UBA,1.0,,,,,Belinda Reardon,2
Georgia Cancer Control Consortium Steering Committee,2.0,All-UC Economic History,1.0,,,,,James Spillane,2
AGAUR-Generalitat de Catalunya,2.0,"Criminality in Serbia: Phenomenology, Risks and Possibilities of Social Prevention",1.0,,,,,Sidy Cissokho,2
Danida Fellowship Centre,2.0,Research Development and Enhancement Awards Program,1.0,,,,,Bridget Healy,2
State of California Business Transportation and Housing Agency,2.0,Post-Doc Fellowship,1.0,,,,,Xinxiang Chen,2
"UK NIHR UCLH/UCL Biomedical Research Centre, CHN",2.0,SDO programme,1.0,,,,,Bugra Susler,2
Equal Justice Works Fellowship,2.0,"Sexual Violence Research Initiative 2017 Annual Meeting, Rio de Janeiro, Brazil",1.0,,,,,Pawel Banas,2
Intuit Financial Freedom Foundation,2.0,Cochrane Healthcare Quality research group at Cardiff,1.0,,,,,Jenny Torssander,2
CAO & JB,2.0,2014 Economic History Society Conference in Warwick,1.0,,,,,David Cannon,2
Children's Commissioner for England,2.0,IFT,1.0,,,,,Leslie Hannah,2
Metro North Hospital & Health Services SEED,2.0,Mood Disorders Section,1.0,,,,,Shoshana Perrey,2
ProQuest,2.0,RANNIS,1.0,,,,,Niklas Frykman,2
Fundacao de Amparo a Pesquisa e Inovacao do Espirito Santo (FAPES),2.0,2014 Heights and Economic Development Workshop,1.0,,,,,Fang Chen Tang,2
BecasChile,2.0,British Studies Cluster Conference,1.0,,,,,Sisira Jayasuriya,2
ACHIEVEability,2.0,General Practice and Rural Health,1.0,,,,,Shenyang Guo,2
Lindhaga Foundation,2.0,Cliometrics Workshop in Strasbourg,1.0,,,,,Eliane Rodrigues,2
Canadian Institute for Health Research (CIHR),2.0,European Summer School in Resource and Environmental Economics,1.0,,,,,Gorry Fairhurst,2
Healthy Environments Partnership (HEP),2.0,RAPT Conference,1.0,,,,,T. Taggart,2
Center for Community Engagement and Service Learning,2.0,Diversity and Equity Initiative Award,1.0,,,,,Jason Jones,2
Greenwall Foundation's Faculty Scholars Program in Bioethics,2.0,Council for the Advancement of Nursing Science Meeting,1.0,,,,,Andrea Howard,2
Lindner,2.0,Grant-In-Aid award,1.0,,,,,Rossio Motta,2
Australian government's Collaborative Research Network Program,2.0,6th International Association for Tourism Economics Conference,1.0,,,,,Daniel Laurison,2
NIH Office of the Director,2.0,IIOC 2016,1.0,,,,,Rona Geffen,2
Finance Center Munster,2.0,Academy of Development,1.0,,,,,Lisa A. Keister,2
National Centre for Student Equity in Higher Education,2.0,European Historical Economics Society 2013 meeting in London,1.0,,,,,Janine Leshcke,2
Social Sciences and Humanities Research Council of Canada (SSHRC) Canadian Graduate (Doctoral) Scholarship,2.0,Mexican Stock Exchange,1.0,,,,,Mark Pinfold,2
National Institutes of Health CTSA,2.0,Netherlands Twin Register Biobank,1.0,,,,,Dr. Witteman,2
Road Safety Research Partnership Program (RSRPP),2.0,Explaining differences in educational spending in rural Sweden,1.0,,,,,Elton Chan,2
REHabilitering och SAMordning (REHSAM),2.0,23rd Annual Meeting of the American Law and Economics Association,1.0,,,,,Yannis Hamilakis,2
National Institute of Alcoholism and Alcohol Abuse,2.0,NBER Cohort Studies Meeting,1.0,,,,,Garcia-Gomez,2
International Accounting Standards Board (IASB),2.0,EU-NormCon,1.0,,,,,Gregory A. Aarons,2
Tribal Self-Governance Act of 1994,2.0,ESPELMA,1.0,,,,,Wolfgang Spiess-Knafl,2
Skaraborg Institute for Research and Development,2.0,Multicountry Study on Men and Violence in Asia,1.0,,,,,Luis Garate,2
Department of Health Policy Research Programme (Bridging the Knowledge and Practice Gap between Domestic Violence and Child Safeguarding: Developing Policy and Training or General Practice,2.0,International Business Conference,1.0,,,,,Renaud Foucart,2
Mannheimer Zentrum fur Europaische Sozialforschung (MZES),2.0,2016 Lyon ENTFIN Conference,1.0,,,,,Ann Blake,2
"UCLA Center for HIV Identification, Prevention and Treatment Services",2.0,2017 annual meeting of the International Studies Association,1.0,,,,,Nicholas H. Wilson,2
UCSF/GIVI Center for AIDS Research),2.0,Workshop on States and Economic Crises (Reading),1.0,,,,,Ashalim,2
Workers' Compensation Board of Manitoba,2.0,Cognitive Control Training protocol,1.0,,,,,Giorgia Menta,2
Le Fonds de recherche du Quebec - Societe et culture (FQRSC),2.0,Focus on a Fitter Future,1.0,,,,,Shakheeb Khan,2
Warren Conner Development Coalition,2.0,RDECOM,1.0,,,,,Ming Fang,2
Proyecto FONDECYT,2.0,Martin-Luther-Universitat Halle-Wittenberg workshop,1.0,,,,,fur Mathematik,2
Fundacao de Apoio a Pesquisa do Estado da Paraiba,2.0,BASS Care,1.0,,,,,Grzegorz Beltowski,2
"Agencia Estatal de Investigacion (AEI, Spain)",2.0,2011 Meeting of the International Society of Political Psychology,1.0,,,,,Whinston,2
Natural Science Foundation of the United States,2.0,"32nd International Symposium on Money, Banking and Finance 2015",1.0,,,,,Williamine Kets,2
US National Institute of Nursing Research,2.0,Coral Project,1.0,,,,,Fabio Rojas,2
John Cade Fellowship,2.0,Ramon y Cajal program,1.0,,,,,Kathy Ireton,2
"Integrated Programme of WOTRO Science for Global Development, the Netherlands (NWO)",2.0,2015 Annual Meeting (February 2015,1.0,,,,,Matt Cleary,2
Science of Science Communication,2.0,Campus Hungary,1.0,,,,,Brett Inder,2
Program of the Corporation for National and Community Service (CNCS),2.0,Medical and Scientific Advisory Board of the Alzheimer's Association,1.0,,,,,Adeline Barnaud,2
Conflict and Security,2.0,IHR's Corporate History Seminar,1.0,,,,,Femke,2
Cowles Foundation for Research in Economics,2.0,Future Research Leaders' fellowship scheme,1.0,,,,,Diane Ferguson,2
Basic Project of National Science and Technology of China,2.0,8th International Symposium on Human Capital,1.0,,,,,Ester Cerin,2
Radiumstationens Forskningsfond,2.0,GEO-ISRAEL,1.0,,,,,Mary Latka,2
VA New England Early Career Development Award,2.0,ESHET ECB Grant,1.0,,,,,Kristen Loomis,2
Long-Term Quality Alliance (LTQA),2.0,FPU Programme,1.0,,,,,Tasso Adamopoulos,2
Institute for Education Sciences (IES) Predoctoral Fellowship,2.0,ISGS7 in Paris,1.0,,,,,Diana Crom,2
Law and Social Sciences Division,2.0,Centre for Learning and Life-chances in the Knowledge Economies (LLAKES,1.0,,,,,Juan F. Rubio-Ramirez,2
Silberman Foundation,2.0,Concern Worldwide,1.0,,,,,David Atkin,2
Canadian Chiropractic Research Foundation,2.0,"All-UC Group in Economic History Conference in Berkeley, CA",1.0,,,,,Eric Andersen,2
Canada-Latin America and the Caribbean Research Exchanges (LACREG),2.0,Linking Cloth-Clothing Globally,1.0,,,,,Daniel Gottlieb,2
Sida,2.0,First Half of the 17th Centuries,1.0,,,,,Dr. Wood,2
Integrated Program for Island Research (IPIR) of the Program,2.0,Turning the Pages: Exploring the History of Psychiatry in India,1.0,,,,,Brynne Sinclair-Waters,2
"French ""Fondation pour la recherche sur la biodiversite",2.0,FRESH meeting,1.0,,,,,Shereen Chaudhry,2
Communaute francaise de Belgique),2.0,2015 University of Houston Accounting Research Symposium,1.0,,,,,Kimberley Zarecor,2
US Department of Energy,2.0,Economic history Association,1.0,,,,,Josefine Antoniades,2
Stiftelsen Sven Jerrings Fond,2.0,ALAPP,1.0,,,,,Giorgio Fagiolo,2
National Institutes of Health-National Institute of Child Health and Development,2.0,National R + D + I,1.0,,,,,Bill Stewart,2
Rural Development Initiative,2.0,Heritage Dynamics,1.0,,,,,Henry Woo,2
Society for Community Research and Action (APA Division 27,2.0,IMPROSA (Improving Road Safety,1.0,,,,,Richard Williams,2
National Institute for Prevention and Health Education (INPES,2.0,IACM Conference in New York City,1.0,,,,,Miles McNall,2
Social Science Research Project of the East China University of Political Science and Law,2.0,2017 Canadian Sociological Association Conference,1.0,,,,,Sorcha Tormey,2
Irish Medicines Board,2.0,London Migration Research Group,1.0,,,,,Adam Posen,2
Helmsley Foundation,2.0,Prostate Cancer Support Groups,1.0,,,,,Nancy Moss,2
Lotte,2.0,Parenting and Family Support Centre,1.0,,,,,Konrad Senf,2
Israel Human Rights Center for People with Disabilities,2.0,IMLS,1.0,,,,,Graciana Pita,2
Leverhulme Trust Footprints,2.0,20th Annual Congress of the European Business History Association,1.0,,,,,Madan Pillutla,2
"Ministry of Education, Spain)",2.0,British Agricultural History Society,1.0,,,,,Jared Pryor,2
Academic Fund Program,2.0,2012 Association for Public Policy Analysis & Management (APPAM),1.0,,,,,Rajiv Maheswaran,2
PSC-CUNY Research Award Program,2.0,ISCOLE,1.0,,,,,Eoin Murray,2
non-governmental organization (NGO),2.0,Centre for the Evaluation of Complexity Across the Nexus,1.0,,,,,Alison Wood Brooks,2
Shandong Provincial Natural Science Foundation,2.0,D + I en Economia i Politiques Publiques,1.0,,,,,Charlotte Eidenbenz,2
Scientific Research and Documentation Center of the Ministry of Justice,2.0,Science and Engineering Ethics,1.0,,,,,Yvetta Fortova,2
Lansforsakringar,2.0,"Colonialism, Growth and Development in the Southern Hemisphere",1.0,,,,,Stefania Ottone,2
National Technical Assistance Network for Children's Behavioral Health,2.0,"Population Association of America 2015 Annual Meeting, San Diego, California",1.0,,,,,Harvey Mkandawire,2
Robert Wood Johnson Foundation State Health Access Research and Evaluation (SHARE) program,2.0,Economists' Papers Project,1.0,,,,,Ann Phoenix,2
CCS BC,2.0,Origins and Trends of Latin American Inequality,1.0,,,,,Na'ama Shenhav,2
"UPV/EHU ""Econometrics Research Group",2.0,Maps and Society,1.0,,,,,Megan Knaus,2
Breast Cancer Network of Australia,2.0,Benchmarking in Global Governance' Research Workshop,1.0,,,,,Stanislav Volgushev,2
Direct Grant for Research,2.0,NWO project,1.0,,,,,Isabelle Konuma,2
French group Ensemble pour une Solidarite Therapeutique Hospitaliere En Reseau (ESTHER/Expertise France,2.0,Challenged Child Project,1.0,,,,,Yajuan Si,2
Feed the Future Legume Innovation Lab,2.0,Hear and Say,1.0,,,,,Itamar Gati,2
Centre for Critical Infrastructure Protection Research (CenCIP),2.0,Portable Antiquities Scheme,1.0,,,,,Honorio Silva,2
Casino Austria,2.0,"American Association for the History of Medicine Conference, Cleveland, Ohio",1.0,,,,,Lukas Schmid,2
US Department of Homeland Security,2.0,"The Family Archive: Exploring Family Identities, Memories and Stories Through Curated Personal Possessions'",1.0,,,,,Tanaka,2
L'Oreal-UNESCO Fellowship for Women in Science,2.0,Trinity Laban's Dance Science team,1.0,,,,,Luna,2
Lemelson/Society for Psychological Anthropology Pre-Dissertation Award,2.0,VAPSHCS,1.0,,,,,Wei-jun Jean Yeung,2
Marie Curie FP7-PEOPLE-2012-COFUND Action,2.0,Munster,1.0,,,,,Benjamin Elbers,2
Appalachian Regional Commission/West Virginia Development Office Flex-E Grant,2.0,Biennial Meeting of the Citadel Symposium on Southern Politics,1.0,,,,,Carina Fourie,2
Northern Health Small Research Grant,2.0,VA Rehabilitation R&D Service,1.0,,,,,Nisa,2
ActionAid Bangladesh,2.0,Should Not Be Construed to Represent Any Agency Determination or Policy,1.0,,,,,R. M. Niemiec,2
South China Research Grant,2.0,AGRICISTRADE,1.0,,,,,Tiffany Trautwein,2
Eunice Kennedy Shriver National Institute of Child Health and Human Develop-ment,2.0,information sur l'enseignement superieur,1.0,,,,,Natalie Ingraham,2
Jacobs Foundation PATHWAYS Fellowship programme,2.0,Oregon Sea Grant,1.0,,,,,Ole Jacob Sending,2
"Ministry of Social Policy and Youth, Croatia",2.0,SLIMMER,1.0,,,,,Mathias Clivaz,2
Centre for Economic Demography Linneaus Grant,2.0,Beatrice Ruth Burgess Center for WV Families and Communities,1.0,,,,,Logan Manikam,2
MEXT KAKENHI Grant,2.0,Dispute Resolution Research Center,1.0,,,,,Pierre Benz,2
MEPROCS project,2.0,2014 CA Day,1.0,,,,,John Beshears,2
Foundation for Young Scholar in Philosophy and Social Science,2.0,Centre for Ethics and Poverty Research,1.0,,,,,Demetria Bronaugh,2
Dutch national government,2.0,SCANeR (R) Software Developments,1.0,,,,,Cheung,2
"Education, Humanities and Law Faculty",2.0,STSM Grant,1.0,,,,,Sam Fankhauser,2
BGC,2.0,Handbook of Competence and Motivation (2nd Edition,1.0,,,,,Kristin S. Seefeldt,2
International Postdoctoral Exchange Fellowship Program,2.0,Social Science Japan,1.0,,,,,Kazuhiko Murayama,2
CRB Bronfman Foundation,2.0,Population Association of America 2015 Annual Meeting,1.0,,,,,Dawn Teele,2
Bruce S. Gelb Foundation,2.0,American Finance Association,1.0,,,,,Michael J. Sullivan,2
Council of American Overseas Research Centers Multi-country Fellowship,2.0,CEMADEN,1.0,,,,,Paige Garside,2
National Research University-Higher School of Economics' Academic Fund Program,2.0,"Canadian Society for Brain, Behavior, and Cognitive Science in Toronto",1.0,,,,,Kirill Pogorelskiy,2
California Department of Public Health Office of Health Equity P.O,2.0,Banting Postdoctoral Fellowship program,1.0,,,,,Carl-Zeiss Stiftung,2
Donation and Transfer of HumanReproductive Materials,2.0,Advisory Group on Health Systems Research Synthesis,1.0,,,,,Werner Brouwer,2
Fulbright Scholarship to Thompson,2.0,ISIS program,1.0,,,,,Erica E.M. Moodie,2
Svenska forskningsradet Formas,2.0,Physical Health Activity Study Team,1.0,,,,,Rosalind May,2
American Psychology-Law and Society,2.0,TALENTS UP Programme,1.0,,,,,Wharton,2
"Indonesia Endowment Fund for Education (LPDP) Scholarships, Ministry of Finance, Republic of Indonesia",2.0,World Heritage Site,1.0,,,,,Jan Brulle,2
NIH/NIDA 1R01DA039072-01A1,2.0,Israel Insurance Association,1.0,,,,,D. Fudenberg,2
Global Development Network (CERGE-EI/GDN,2.0,Midwest Economics Association,1.0,,,,,Joe Li,2
Elisee Reclus,2.0,INSEAD R & D Fund,1.0,,,,,Eltjo Buringh,2
Shanghai Health and Family Planning Commission,2.0,2012 Midwest Health Economics Conference,1.0,,,,,Karson T. F. Kung,2
Danish Rheumatism Foundation,2.0,Toronto RDC,1.0,,,,,Roni Kisin,2
Agencia Estatal de Investigacion,2.0,Mentro Allan Programme,1.0,,,,,Zbigniew Karpinski,2
Robert Wood Johnson Foundation Active Living Research program,2.0,"Ethics, Social Determinants of Health, and Health Equity: Integrating Theory and Practice",1.0,,,,,Grace,2
European Commission (Marie Sklodowska-Curie Individual Fellowship,2.0,"Business History Conference, Philadelphia",1.0,,,,,George Foy,2
Consortium des Equipements de Calcul Intensif (CECI),2.0,Preventive Care team,1.0,,,,,Chris Jones,2
US Army Research Office (ARO),2.0,2015 Megan Cornog Memorial Highway Safety Scholarship,1.0,,,,,Brandon G. Wagner,2
Spanish CYCIT Research Project,2.0,FULafia Research and Publication Committee,1.0,,,,,Lukas Steinberger,2
"Sectoral Operational Programme ""Human Resources Development",2.0,Rural Matters,1.0,,,,,Henrik Ronsbo,2
"London School of Hygiene & Tropical Medicine, Keppel Street, London WC1E 7HT",2.0,Psicologia y Libertad,1.0,,,,,Jim Newman,2
Rabobank Foundation,2.0,EnvEcon 2015,1.0,,,,,Tatyana Deryugina,2
UK National Institute for Health Research (NIHR) Collaboration for Leadership in Applied Health Research and Care of the South West Peninsula (PenCLAHRC,2.0,PDW,1.0,,,,,Valerie Bujold,2
PRIN 2010RHAHPL-MISURA (MultIvariate Statistical methods for Risk Assessment),2.0,DIMeco,1.0,,,,,Paula Ganga,2
Chafee Independent Living Evaluation Project,2.0,UN Women in Cambodia,1.0,,,,,Jennifer Jo Thompson,2
Sara Moses Fund,2.0,Direction Generale de la Protection des Vegetaux,1.0,,,,,Albano de Magalhaes,2
Penn Neurodegenerative Disease Ethics and Policy Program,2.0,Finance Down Under Conference,1.0,,,,,M. Del Negro,2
Wenner-Gren Foundation for Anthropological Research Dissertation Fieldwork Grant,2.0,Stanford Economic History,1.0,,,,,Peter Vann,2
National Transdisciplinary Collaborative Center for African American Men's Health,2.0,"Research Institute of Economy, Trade and Industry (RIETI)",1.0,,,,,Daniel T. Ryan,2
Jane Eliza Procter Fellowship,2.0,Service User Advisory Group,1.0,,,,,Alex Ludwig,2
Surdna Foundation,2.0,project Revision y analisis de documentales propagandisticos y anuncios audiovisuales educativos producidos entre 1914-1939,1.0,,,,,Gullvi Nilsson,2
"MIT Center for the Study of Diversity in Science, Technology and Medicine",2.0,PILS,1.0,,,,,John B. Harley,2
Fondation pour la Recherche en Alcoologie (FRA),2.0,Technical vs. Moral Proximity: The 'Hidden Morality,1.0,,,,,Davood Tofighi,2
