text,abbreviation,full
Science Development and Implementation,JSDI,Science Development and Implementation (JSDI)
Japan Science and Technology Agency,JST,Japan Science and Technology Agency  (JST)
Japan Science and Technology,JST,Japan Science and Technology Agency  (JST)
Japan Science and Technology Corporation,JST,Japan Science and Technology Agency  (JST)
Japan Agency for Science and Technology,JST,Japan Science and Technology Agency  (JST)
Joint Scientific Thematic Research Programme,JSTP,Joint Scientific Thematic Research Programme (JSTP)
John Templeton Foundation,JTF,John Templeton Foundation (JTF)
JapanUnited States Educational Commission,JUSEC,Japan United States Educational Commission (JUSEC)
JapanUS Educational Commission,JUSEC,Japan United States Educational Commission (JUSEC)
Kalmar Algae Collection,KAC,Kalmar Algae Collection (KAC)
Korea Agency for Infrastructure Technology Advancement,KAIA,Korea Agency for Infrastructure Technology Advancement (KAIA)
King Abdullah International Medical Research Center,KAIMRC,King Abdullah International Medical Research Center (KAIMRC)
Korea Advanced Institute of Science and Technology,KAIST,Korea Advanced Institute of Science and Technology (KAIST)
Kenya Agricultural and Livestock Research Organization,KALRO,Kenya Agricultural and Livestock Research Organization (KALRO)
Korea Astronomy and Space Science Institute,KASI,Korea Astronomy and Space Science Institute (KASI)
Korean Agency for Technology and Standards,KATS,Korean Agency for Technology and Standards (KATS)
Kenya Bankers Association,KBA,Kenya Bankers Association (KBA)
Kids Cancer Alliance,KCA,Kids Cancer Alliance (KCA)
Kenya Coastal Development Project,KCDP,Kenya Coastal Development Project (KCDP)
Korea Citation Index,KCI,Korea Citation Index (KCI)
Kiel Climate Model,KCM,Kiel Climate Model (KCM)
Krycklan Catchment Study,KCS,Krycklan Catchment Study (KCS)
Korea Culture  Tourism Institute,KCTI,Korea Culture  Tourism Institute (KCTI)
Kansas Department of Health and Environment,KDHE,Kansas Department of Health and Environment (KDHE)
Kansas Department of Wildlife Parks and Tourism,KDWPT,Kansas Department of Wildlife Parks and Tourism (KDWPT)
Knowledge Exchange,KE,Knowledge Exchange (KE)
Korea Energy Economics Institute,KEEI,Korea Energy Economics Institute (KEEI)
Korea Environment Industry  Technology Institute,KEITI,Korea Environment Industry  Technology Institute (KEITI)
Kauai Endangered Seabird Recovery Project,KESRP,Kauai Endangered Seabird Recovery Project (KESRP)
Korea Institute of Energy Technology Evaluation and Planning,KETEP,Korea Institute of Energy Technology Evaluation and Planning (KETEP)
Knowledge for Climate,KfC,Knowledge for Climate (KfC)
Knowledge for Change,KFC,Knowledge for Change (KFC)
Korean Government Scholarship Program,KGSP,Korean Government Scholarship Program (KGSP)
Korea Institute of Civil Engineering and Building Technology,KICT,Korea Institute of Civil Engineering and Building Technology (KICT)
Korea Institute of Public Administration,KIPA,Korea Institute of Public Administration (KIPA)
Kuwait Institute for Scientific Research,KISR,Kuwait Institute for Scientific Research (KISR)
Korea Institute of Science and Technology,KIST,Korea Institute of Science and Technology (KIST)
Korea Institute of Science and Technology Information,KISTI,Korea Institute of Science and Technology Information (KISTI)
Korea Institute of Science and Technology,KISTI,Korea Institute of Science and Technology Information (KISTI)
Key Laboratory of Mariculture,KLM,Key Laboratory of Mariculture (KLM)
Kenya Marine and Fisheries Research Institute,KMFRI,Kenya Marine and Fisheries Research Institute (KMFRI)
Korea Meteorological Institute,KMI,Korea Meteorological Institute (KMI)
Knowledge Management Innovation and Research Center,KMIRC,Knowledge Management Innovation and Research Center (KMIRC)
Royal Netherlands Academy of Arts and Sciences,KNAW,Royal Netherlands Academy of Arts and Sciences (KNAW)
Royal Dutch Academy of Sciences,KNAW,Royal Netherlands Academy of Arts and Sciences (KNAW)
Koninklijke Nederlandse Akademie van Wetenschappen,KNAW,Royal Netherlands Academy of Arts and Sciences (KNAW)
Kompetenzzentrum ObstbauBodensee,KOB,Kompetenzzentrum ObstbauBodensee (KOB)
Korea Creative Content Agency,KOCCA,Korea Creative Content Agency (KOCCA)
Korea Oceanographic Data Center,KODC,Korea Oceanographic Data Center (KODC)
Korea Foundation of Nuclear Safety,KoFONS,Korea Foundation of Nuclear Safety (KoFONS)
Korea Foundation of Nuclear Safety,KOFONS,Korea Foundation of Nuclear Safety (KOFONS)
Korean Federation of Science and Technology Societies,KOFST,Korean Federation of Science and Technology Societies (KOFST)
Korea International Cooperation Agency,KOICA,Korea International Cooperation Agency (KOICA)
Development of Korea Operational Oceanographic System,KOOS,Development of Korea Operational Oceanographic System (KOOS)
Korea Polar Research Institute,KOPRI,Korea Polar Research Institute (KOPRI)
Korea Ocean Research and Development Institute,KORDI,Korea Ocean Research and Development Institute (KORDI)
Korea Ocean Satellite Center,KOSC,Korea Ocean Satellite Center (KOSC)
Korea Science and Engineering Foundation,KOSEF,Korea Science and Engineering Foundation (KOSEF)
Korea Polar Data Centre,KPDC,Korea Polar Data Centre (KPDC)
Key Population Implementation Science,KPIS,Key Population Implementation Science (KPIS)
Knowledge Partnership Program,KPP,Knowledge Partnership Program (KPP)
Korea Resource Economics Association,KREA,Korea Resource Economics Association (KREA)
Korea Research Foundation,KRF,Korea Research Foundation (KRF)
Korea Research Institute of Ships  Ocean Engineering,KRISO,Korea Research Institute of Ships  Ocean Engineering (KRISO)
Karnataka AIDS Prevention Society,KSAPS,Karnataka AIDS Prevention Society (KSAPS)
Kailash Sacred Landscape Conservation and Development Initiative,KSLCDI,Kailash Sacred Landscape Conservation and Development Initiative (KSLCDI)
Khaled bin Sultan Living Oceans Foundation,KSLOF,Khaled bin Sultan Living Oceans Foundation (KSLOF)
Korea Semiconductor Research Consortium,KSRC,Korea Semiconductor Research Consortium (KSRC)
Kattegat Surface Water,KSW,Kattegat Surface Water (KSW)
Kootenai Tribe of Idaho,KTOI,Kootenai Tribe of Idaho (KTOI)
Kansas Water Office,KWO,Kansas Water Office (KWO)
Kenya Wildlife Service,KWS,Kenya Wildlife Service (KWS)
KwaZuluNatal Department of Agriculture Environmental Affairs and Rural Development,KZNDAEARD,KwaZuluNatal Department of Agriculture Environmental Affairs and Rural Development (KZNDAEARD)
Latin AmericaCaribbean,LAC,Latin AmericaCaribbean (LAC)
Los Angeles Department of Water and Power,LADWP,Los Angeles Department of Water and Power (LADWP)
London Arts and Humanities Partnership,LAHP,London Arts and Humanities Partnership (LAHP)
Latin American Public Opinion Project,LAPOP,Latin American Public Opinion Project (LAPOP)
Laboratory Animal Resources and Care,LARAC,Laboratory Animal Resources and Care (LARAC)
Living Analytics Research Center,LARC,Living Analytics Research Center (LARC)
Laboratory for Analytic Sciences,LAS,Laboratory for Analytic Sciences (LAS)
Leading Age Services Australia,LASA,Leading Age Services Australia (LASA)
Lombardy Advanced School of Economic Research,LASER,Lombardy Advanced School of Economic Research (LASER)
Los Angeles Unified School District,LAUSD,Los Angeles Unified School District (LAUSD)
Development of a Life Cycle Costing,LCC,Development of a Life Cycle Costing (LCC)
UM Low Carbon Cities Framework and Assessment System,LCCFAS,UM Low Carbon Cities Framework and Assessment System (LCCFAS)
LegislativeCitizen Commission on Minnesota Resources,LCCMR,LegislativeCitizen Commission on Minnesota Resources (LCCMR)
Laurier Centre for Economic Research  Policy Analysis,LCERPA,Laurier Centre for Economic Research  Policy Analysis (LCERPA)
NASA Land CoverLand Use Change,LCLUC,NASA Land CoverLand Use Change (LCLUC)
Linz Center of Mechatronics,LCM,Linz Center of Mechatronics (LCM)
Landcare Research,LCR,Landcare Research (LCR)
Limburg Clinical Research Program,LCRP,Limburg Clinical Research Program (LCRP)
Learning Environments Across Disciplines,LEADS,Learning Environments Across Disciplines (LEADS)
Lab for Economic Applications and Policy,LEAP,Lab for Economic Applications and Policy (LEAP)
Center for Low Energy Systems Technology,LEAST,Center for Low Energy Systems Technology (LEAST)
Laboratoire des Ecoulements Geophysiques et Industriels,LEGI,Laboratoire des Ecoulements Geophysiques et Industriels (LEGI)
Labor Employment Relations Association,LERA,Labor Employment Relations Association (LERA)
Laboratory of Excellence in Research on Medication and Innovative Therapeutics,LERMIT,Laboratory of Excellence in Research on Medication and Innovative Therapeutics (LERMIT)
Lighting Engineering Solutions,LES,Lighting Engineering Solutions (LES)
Lesbian Gay Bisexual Transgender and Queer,LGBTQ,Lesbian Gay Bisexual Transgender and Queer (LGBTQ)
Lung Image Database Consortium,LIDC,Lung Image Database Consortium (LIDC)
 Luxembourg Institute of Health,LIH, Luxembourg Institute of Health (LIH)
Land Information New Zealand,LINZ,Land Information New Zealand (LINZ)
Lutheran Immigrant and Refugee Service,LIRS,Lutheran Immigrant and Refugee Service (LIRS)
IITIFC Laboratory for Integrative System Medicine,LISM,IITIFC Laboratory for Integrative System Medicine (LISM)
Lee Kong Chian,LKC,Lee Kong Chian (LKC)
Lawrence Livermore National Laboratory,LLNL,Lawrence Livermore National Laboratory (LLNL)
Laboratorio de Macroalgas Antarticas y Subantarticas,LMAS,Laboratorio de Macroalgas Antarticas y Subantarticas (LMAS)
Labour Market Dynamics and Growth,LMDG,Labour Market Dynamics and Growth (LMDG)
Leigh Marine Laboratory,LML,Leigh Marine Laboratory (LML)
Laboratory of Materials Science and Environment,LMSE,Laboratory of Materials Science and Environment (LMSE)
Language of Collaborative Manufacturing,LOCM,Language of Collaborative Manufacturing (LOCM)
Leaders Opportunity Fund,LOF,Leaders Opportunity Fund (LOF)
Lebanese Petroleum Administration,LPA,Lebanese Petroleum Administration (LPA)
Indonesia Endowment Fund for Education,LPDP,Indonesia Endowment Fund for Education (LPDP)
Indonesian Endowment Fund,LPDP,Indonesia Endowment Fund for Education (LPDP)
Lembaga Pengelola Dana Pendidikan,LPDP,Indonesia Endowment Fund for Education (LPDP)
Indonesia Endowment Fund for Education Ministry of Finance Republic of Indonesia,LPDP,Indonesia Endowment Fund for Education (LPDP)
